latitude,longitude,borough,countie
40.686203,-73.944694,Brooklyn,Kings County
40.69102925677968,-73.99183362722397,Brooklyn,Kings County
40.75892386377695,-73.96226227283478,Manhattan,New York
40.73143724085228,-73.99490341544151,Manhattan,New York
40.6803560840434,-73.9476791024208,Brooklyn,Kings County
40.71690978045965,-73.98383796215057,Manhattan,New York
40.7505853470215,-73.9946848154068,Manhattan,New York
40.7277140777778,-74.01129573583603,Manhattan,New York
40.75018156325683,-74.00218427181244,Manhattan,New York
40.74937024193277,-73.99923384189606,Manhattan,New York
40.72706363348306,-73.99662137031554,Manhattan,New York
40.72951496224949,-73.99075269699097,Manhattan,New York
40.78307,-73.95939,Manhattan,New York
40.7882213,-73.97041561,Manhattan,New York
40.781410700190015,-73.95595908164978,Manhattan,New York
40.78839,-73.9747,Manhattan,New York
40.7806284,-73.9521667,Manhattan,New York
40.778301,-73.9488134,Manhattan,New York
40.79017948095081,-73.97288918495178,Manhattan,New York
40.7779453,-73.946041,Manhattan,New York
40.7857851,-73.957481,Manhattan,New York
40.7921,-73.9739,Manhattan,New York
40.7835016,-73.955327,Manhattan,New York
40.79127,-73.964839,Manhattan,New York
40.782454175279874,-73.9489196240902,Manhattan,New York
40.6686627,-73.97988067,Brooklyn,Kings County
40.686371,-73.99383324,Brooklyn,Kings County
40.66514681533792,-73.97637605667114,Brooklyn,Kings County
40.7919557,-73.968087,Manhattan,New York
40.7969347,-73.9643412291,Manhattan,New York
40.6849894,-73.99440329,Brooklyn,Kings County
40.668127,-73.98377641,Brooklyn,Kings County
40.78112229934166,-73.94965589046478,Manhattan,New York
40.6662078,-73.98199886,Brooklyn,Kings County
40.7941654,-73.974124,Manhattan,New York
40.6861758,-73.99645295,Brooklyn,Kings County
40.7859201,-73.94860294,Manhattan,New York
40.663779,-73.98396846,Brooklyn,Kings County
40.68763155,-74.0016256,Brooklyn,Kings County
40.7817212,-73.94594,Manhattan,New York
40.6663181,-73.9854617,Brooklyn,Kings County
40.7937704,-73.971888,Manhattan,New York
40.6847514,-73.99917254,Brooklyn,Kings County
40.7989937,-73.9662173778,Manhattan,New York
40.6686273,-73.98700053,Brooklyn,Kings County
40.7839636,-73.9471673,Manhattan,New York
40.666287,-73.98895053,Brooklyn,Kings County
40.79406660818552,-73.96286845207214,Manhattan,New York
40.6831164,-73.99785267,Brooklyn,Kings County
40.668603,-73.9904394,Brooklyn,Kings County
40.7981856,-73.9605909006,Manhattan,New York
40.6685455,-73.99333264,Brooklyn,Kings County
40.7849032,-73.950503,Manhattan,New York
40.67434,-74.00194698,Brooklyn,Kings County
40.7877214,-73.94728331,Manhattan,New York
40.795,-73.9645,Manhattan,New York
40.6829151,-73.99318208,Brooklyn,Kings County
40.6725058,-74.00494695,Brooklyn,Kings County
40.8013434,-73.9711457439,Manhattan,New York
40.681990442707026,-73.99079024791718,Brooklyn,Kings County
40.6747055,-74.0075572,Brooklyn,Kings County
40.6772744,-73.98282002,Brooklyn,Kings County
40.787801,-73.953559,Manhattan,New York
40.67363551341504,-74.01195555925369,Brooklyn,Kings County
40.7862586,-73.94552579,Manhattan,New York
40.6765304,-73.97846879,Brooklyn,Kings County
40.6753274,-74.0100698,Brooklyn,Kings County
40.795346,-73.96186,Manhattan,New York
40.6777748,-74.0094613,Brooklyn,Kings County
40.7997568,-73.9621128676,Manhattan,New York
40.679043,-74.011169,Brooklyn,Kings County
40.78948541553215,-73.95242929458618,Manhattan,New York
40.675146838709786,-73.97523209452629,Brooklyn,Kings County
40.6773429,-74.01275056,Brooklyn,Kings County
40.677236,-74.015665,Brooklyn,Kings County
40.6729679,-73.97087984,Brooklyn,Kings County
40.7973721,-73.97041192,Manhattan,New York
40.7869946,-73.94164802,Manhattan,New York
40.67267243410948,-74.0087952464819,Brooklyn,Kings County
40.668132,-73.97363831,Brooklyn,Kings County
40.76800889305947,-73.96845281124115,Manhattan,New York
40.7746671,-73.98470567,Manhattan,New York
40.8008363,-73.9664492472,Manhattan,New York
40.6711978,-73.97484126,Brooklyn,Kings County
40.7691572,-73.96703464,Manhattan,New York
40.7829391,-73.9786517,Manhattan,New York
40.6740886,-73.9787282,Brooklyn,Kings County
40.7781314,-73.96069399,Manhattan,New York
40.7904828,-73.95033068,Manhattan,New York
40.6751622,-73.9814832,Brooklyn,Kings County
40.6703837,-73.97839676,Brooklyn,Kings County
40.8021174,-73.9681805305,Manhattan,New York
40.7922553,-73.95249933,Manhattan,New York
40.6728155,-73.98352355,Brooklyn,Kings County
40.7724607,-73.9468208,Manhattan,New York
40.7727966,-73.95577801,Manhattan,New York
40.674613422475815,-73.98501142859459,Brooklyn,Kings County
40.7689738,-73.95482273,Manhattan,New York
40.6750705,-73.98775226,Brooklyn,Kings County
40.799484,-73.955613,Manhattan,New York
40.7699426,-73.96060712,Manhattan,New York
40.76471851944339,-73.96222069859505,Manhattan,New York
40.6786115,-73.99037292,Brooklyn,Kings County
40.773763,-73.96222088,Manhattan,New York
40.7903051,-73.94755757,Manhattan,New York
40.6777287,-73.99364123,Brooklyn,Kings County
40.680611,-73.99475825,Brooklyn,Kings County
40.804213,-73.96699104,Manhattan,New York
40.6787242,-73.99599099,Brooklyn,Kings County
40.6809591,-73.99905709,Brooklyn,Kings County
40.7934337,-73.94945003,Manhattan,New York
40.6828003,-73.99990419,Brooklyn,Kings County
40.6830456,-74.00348559,Brooklyn,Kings County
40.79329668,-73.9432083,Manhattan,New York
40.7892529,-73.93956237,Manhattan,New York
40.6812117,-74.00860912,Brooklyn,Kings County
40.6794327,-74.00785041,Brooklyn,Kings County
40.6769993,-74.00647134,Brooklyn,Kings County
40.6763744,-74.00324957,Brooklyn,Kings County
40.6783563,-74.00014502,Brooklyn,Kings County
40.6763947,-73.99869893,Brooklyn,Kings County
40.6746957,-73.99785768,Brooklyn,Kings County
40.67260298150126,-73.98983001708984,Brooklyn,Kings County
40.7961535,-73.94782145,Manhattan,New York
40.6724811,-73.99331394,Brooklyn,Kings County
40.6902375,-73.99203074,Brooklyn,Kings County
40.6705135,-73.98876585,Brooklyn,Kings County
40.6704922,-73.98541675,Brooklyn,Kings County
40.6704836,-73.98208968,Brooklyn,Kings County
40.67909799721684,-73.98765474557877,Brooklyn,Kings County
40.6881529,-73.99520919,Brooklyn,Kings County
40.6867443,-73.99063168,Brooklyn,Kings County
40.6864442,-73.98759104,Brooklyn,Kings County
40.6849668,-73.98620772,Brooklyn,Kings County
40.6853761,-73.98302136,Brooklyn,Kings County
40.6827549,-73.98258555,Brooklyn,Kings County
40.680944723477296,-73.97567331790923,Brooklyn,Kings County
40.6793307,-73.97519523,Brooklyn,Kings County
40.6795766,-73.97854971,Brooklyn,Kings County
40.6750207,-73.97111473,Brooklyn,Kings County
40.6792788,-73.98154004,Brooklyn,Kings County
40.6802133,-73.98432695,Brooklyn,Kings County
40.6843549,-73.98901629,Brooklyn,Kings County
40.6859296,-74.00242364,Brooklyn,Kings County
40.6610633719006,-73.97945255041122,Brooklyn,Kings County
40.791976,-73.945993,Manhattan,New York
40.7892105,-73.94370784,Manhattan,New York
40.72430527250332,-73.99600982666016,Manhattan,New York
40.68506807308177,-73.97790759801863,Brooklyn,Kings County
