"year","end station id","end station name","end station latitude","end station longitude","num_trips"
"2018","3409","Bergen St & Smith St","40.6867443","-73.99063168","37057"
"2018","174","E 25 St & 1 Ave","40.7381765","-73.97738662","36996"
"2018","346","Bank St & Hudson St","40.73652889","-74.00618026","36928"
"2018","303","Mercer St & Spring St","40.72362738","-73.99949601","36890"
"2018","328","Watts St & Greenwich St","40.72405549","-74.00965965","36523"
"2018","325","E 19 St & 3 Ave","40.73624527","-73.98473765","36497"
"2018","469","Broadway & W 53 St","40.76344058","-73.98268129","36492"
"2018","500","Broadway & W 51 St","40.76228826","-73.98336183","36474"
"2018","394","E 9 St & Avenue C","40.72521311","-73.97768752","36366"
"2018","3223","E 55 St & 3 Ave","40.758996559605116","-73.96865397691727","36115"
"2018","3461","Murray St & Greenwich St","40.714851505262516","-74.01122331619263","35940"
"2018","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","35452"
"2018","252","MacDougal St & Washington Sq","40.73226398","-73.99852205","35312"
"2018","2002","Wythe Ave & Metropolitan Ave","40.716887","-73.963198","35179"
"2018","3632","E 12 St & Avenue B","40.728048571362606","-73.97881150245667","35025"
"2018","355","Bayard St & Baxter St","40.71602118","-73.99974372","34714"
"2018","3143","5 Ave & E 78 St","40.77632142182271","-73.96427392959595","34699"
"2018","2010","Grand St & Greene St","40.72165481","-74.00234737","34695"
"2018","2012","E 27 St & 1 Ave","40.739445","-73.976806","34624"
"2018","3659","W 17 St & 9 Ave","40.74294891660091","-74.00413691997528","34382"
"2018","296","Division St & Bowery","40.71413089","-73.9970468","34331"
"2018","254","W 11 St & 6 Ave","40.73532427","-73.99800419","34077"
"2018","324","DeKalb Ave & Hudson Ave","40.689888","-73.981013","34062"
"2018","3374","Central Park North & Adam Clayton Powell Blvd","40.799484","-73.955613","33898"
"2018","532","S 5 Pl & S 5 St","40.710451","-73.960876","33867"
"2018","257","Lispenard St & Broadway","40.71939226","-74.00247214","33759"
"2018","345","W 13 St & 6 Ave","40.73649403","-73.99704374","33710"
"2018","470","W 20 St & 8 Ave","40.74345335","-74.00004031","33702"
"2018","279","Peck Slip & Front St","40.707873","-74.00167","33561"
"2018","439","E 4 St & 2 Ave","40.7262807","-73.98978041","33440"
"2018","350","Clinton St & Grand St","40.71559509","-73.9870295","33336"
"2018","309","Murray St & West St","40.7149787","-74.013012","33011"
"2018","423","W 54 St & 9 Ave","40.76584941","-73.98690506","32906"
"2018","485","W 37 St & 5 Ave","40.75038009","-73.98338988","32721"
"2018","502","Henry St & Grand St","40.714215","-73.981346","32504"
"2018","311","Norfolk St & Broome St","40.7172274","-73.98802084","32434"
"2018","2000","Front St & Washington St","40.70255088","-73.98940236","31887"
"2018","484","W 44 St & 5 Ave","40.75500254","-73.98014437","31670"
"2018","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","31508"
"2018","440","E 45 St & 3 Ave","40.75255434","-73.97282625","31338"
"2018","3295","Central Park W & W 96 St","40.79127","-73.964839","31299"
"2018","259","South St & Whitehall St","40.70122128","-74.01234218","31119"
"2018","3156","E 72 St & York Ave","40.76663814","-73.95348296","31113"
"2018","441","E 52 St & 2 Ave","40.756014","-73.967416","30705"
"2018","3112","Milton St & Franklin St","40.72906","-73.95779","30667"
"2018","3160","Central Park West & W 76 St","40.77896784","-73.97374737","30638"
"2018","150","E 2 St & Avenue C","40.7208736","-73.98085795","30536"
"2018","3687","E 33 St & 1 Ave","40.74322681432173","-73.97449783980846","30520"
"2018","3090","N 8 St & Driggs Ave","40.71774592","-73.95600096","30316"
"2018","3431","E 35 St & 3 Ave","40.746524","-73.977885","30276"
"2018","3459","E 53 St & 3 Ave","40.75763227739443","-73.96930575370789","30270"
"2018","164","E 47 St & 2 Ave","40.75323098","-73.97032517","29915"
"2018","455","1 Ave & E 44 St","40.75001986","-73.96905301","29700"
"2018","513","W 56 St & 10 Ave","40.768254","-73.988639","29431"
"2018","146","Hudson St & Reade St","40.71625008","-74.0091059","29345"
"2018","422","W 59 St & 10 Ave","40.770513","-73.988038","28931"
"2018","3674","Jay St & York St","40.701403172577244","-73.98672670125961","28616"
"2018","3360","Amsterdam Ave & W 79 St","40.7829391","-73.9786517","28527"
"2018","3440","Fulton St & Adams St","40.692418292578466","-73.98949474096298","28435"
"2018","473","Rivington St & Chrystie St","40.72110063","-73.9919254","28065"
"2018","3171","Amsterdam Ave & W 82 St","40.78524672","-73.97667321","27615"
"2018","79","Franklin St & W Broadway","40.71911552","-74.00666661","27537"
"2018","3173","Riverside Blvd & W 67 St","40.777507027547976","-73.98888587951659","27491"
"2018","3658","W 18 St & 9 Ave","40.7435337324616","-74.00367558002472","27345"
"2018","3680","E 43 St & 5 Ave","40.754120810779256","-73.98025184869766","27172"
"2018","3107","Bedford Ave & Nassau Ave","40.72311651","-73.95212324","26777"
"2018","280","E 10 St & 5 Ave","40.73331967","-73.99510132","26735"
"2018","238","Bank St & Washington St","40.7361967","-74.00859207","26693"
"2018","295","Pike St & E Broadway","40.71406667","-73.99293911","26691"
"2018","3684","W 12 St & W 4 St","40.73756121181137","-74.00398269295692","26662"
"2018","247","Perry St & Bleecker St","40.73535398","-74.00483091","26434"
"2018","3402","Court St & State St","40.6902375","-73.99203074","26323"
"2018","228","E 48 St & 3 Ave","40.7546011026","-73.971878855","26308"
"2018","3259","9 Ave & W 28 St","40.74937024193277","-73.99923384189606","26302"
"2018","351","Front St & Maiden Ln","40.70530954","-74.00612572","26259"
"2018","3423","West Drive & Prospect Park West","40.6610633719006","-73.97945255041122","26239"
"2018","3092","Berry St & N 8 St","40.7190095","-73.95852515","26069"
"2018","3166","Riverside Dr & W 72 St","40.78057799010334","-73.98562431335449","25535"
"2018","330","Reade St & Broadway","40.71450451","-74.00562789","25532"
"2018","3314","W 95 St & Broadway","40.7937704","-73.971888","25454"
"2018","3232","Bond St & Fulton St","40.68962188790333","-73.98304268717766","25348"
"2018","427","Bus Slip & State St","40.701907","-74.013942","25345"
"2018","3129","Queens Plaza North & Crescent St","40.75110165","-73.94073717","25315"
"2018","3243","E 58 St & 1 Ave","40.75892386377695","-73.96226227283478","25212"
"2018","386","Centre St & Worth St","40.71494807","-74.00234482","24951"
"2018","3372","E 74 St & 1 Ave","40.7689738","-73.95482273","24890"
"2018","239","Willoughby St & Fleet St","40.69196566","-73.9813018","24837"
"2018","467","Dean St & 4 Ave","40.68312489","-73.97895137","24728"
"2018","3175","W 70 St & Amsterdam Ave","40.77748046","-73.98288594","24698"
"2018","3132","E 59 St & Madison Ave","40.76350532","-73.97109243","24683"
"2018","3521","Lenox Ave & W 111 St","40.7987859","-73.9523","24520"
"2018","357","E 11 St & Broadway","40.73261787","-73.99158043","24503"
"2018","320","Leonard St & Church St","40.717571","-74.005549","24475"
"2018","3318","2 Ave & E 96 St","40.7839636","-73.9471673","24473"
"2018","398","Atlantic Ave & Furman St","40.69165183","-73.9999786","24421"
"2018","3635","W 36 St & 9 Ave","40.75462324029105","-73.99516761302948","24377"
"2018","3170","W 84 St & Columbus Ave","40.78499979","-73.97283406","24357"
"2018","415","Pearl St & Hanover Square","40.7047177","-74.00926027","24317"
"2018","3305","E 91 St & 2 Ave","40.78112229934166","-73.94965589046478","24142"
"2018","3161","W 76 St & Columbus Ave","40.7801839724239","-73.97728532552719","24104"
"2018","3119","Vernon Blvd & 50 Ave","40.74232744","-73.95411749","23913"
"2018","321","Cadman Plaza E & Red Cross Pl","40.69991755","-73.98971773","23826"
"2018","522","E 51 St & Lexington Ave","40.75714758","-73.97207836","23808"
"2018","3466","W 45 St & 6 Ave (OLD)","40.75668720603179","-73.98257732391357","23777"
"2018","362","Broadway & W 37 St","40.75172632","-73.98753523","23602"
"2018","308","St James Pl & Oliver St","40.71307916","-73.99851193","23424"
"2018","2009","Catherine St & Monroe St","40.71117444","-73.99682619","23403"
"2018","392","Jay St & Tech Pl","40.695065","-73.987167","23294"
"2018","316","Fulton St & William St","40.70955958","-74.00653609","23286"
"2018","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","23283"
"2018","302","Avenue D & E 3 St","40.72082834","-73.97793172","23109"
"2018","143","Clinton St & Joralemon St","40.69239502","-73.99337909","23065"
"2018","3226","W 82 St & Central Park West","40.78275","-73.97137","23047"
"2018","3155","Lexington Ave & E 63 St","40.76440023","-73.96648977","22801"
"2018","391","Clark St & Henry St","40.69760127","-73.99344559","22683"
"2018","264","Maiden Ln & Pearl St","40.70706456","-74.00731853","22669"
"2018","366","Clinton Ave & Myrtle Ave","40.693261","-73.968896","22587"
"2018","3507","Park Ave & E 124 St","40.8045555","-73.9396861","22348"
"2018","3486","Schermerhorn St & Bond St","40.688417427540834","-73.98451656103134","22207"
"2018","3086","Graham Ave & Conselyea St","40.715143","-73.944507","22202"
"2018","3283","W 89 St & Columbus Ave","40.7882213","-73.97041561","22106"
"2018","393","E 5 St & Avenue C","40.72299208","-73.97995466","21990"
"2018","3457","E 58 St & Madison Ave","40.76302594280519","-73.97209525108337","21964"
"2018","376","John St & William St","40.70862144","-74.00722156","21901"
"2018","527","E 33 St & 2 Ave","40.744023","-73.976056","21835"
"2018","3301","Columbus Ave & W 95 St","40.7919557","-73.968087","21771"
"2018","3462","E 44 St & 2 Ave","40.75118387463277","-73.97138714790344","21650"
"2018","276","Duane St & Greenwich St","40.71748752","-74.0104554","21552"
"2018","454","E 51 St & 1 Ave","40.75455731","-73.96592976","21483"
"2018","3136","5 Ave & E 63 St","40.766368","-73.971518","21380"
"2018","3534","Frederick Douglass Blvd & W 117 St","40.805159","-73.954692","21103"
"2018","360","William St & Pine St","40.70717936","-74.00887308","21042"
"2018","414","Pearl St & Anchorage Pl","40.70281858","-73.98765762","21039"
"2018","3148","E 84 St & 1 Ave","40.77565541","-73.95068615","20993"
"2018","389","Broadway & Berry St","40.71044554","-73.96525063","20763"
"2018","3367","5 Ave & E 103 St","40.7922553","-73.95249933","20752"
"2018","534","Water - Whitehall Plaza","40.70255065","-74.0127234","20663"
"2018","3177","W 84 St & Broadway","40.7867947","-73.977112","20653"
"2018","3110","Meserole Ave & Manhattan Ave","40.72708584","-73.95299117","20425"
"2018","411","E 6 St & Avenue D","40.72228087","-73.97668709","20381"
"2018","406","Hicks St & Montague St","40.69512845","-73.99595065","20343"
"2018","157","Henry St & Atlantic Ave","40.69089272","-73.99612349","20228"
"2018","340","Madison St & Clinton St","40.71269042","-73.98776323","20121"
"2018","349","Rivington St & Ridge St","40.71850211","-73.98329859","20025"
"2018","481","S 3 St & Bedford Ave","40.71260486","-73.96264403","20009"
"2018","253","W 13 St & 5 Ave","40.73543934","-73.99453948","19921"
"2018","3350","W 100 St & Broadway","40.7973721","-73.97041192","19910"
"2018","2023","E 55 St & Lexington Ave","40.75968085","-73.97031366","19790"
"2018","342","Columbia St & Rivington St","40.71739973","-73.98016555","19705"
"2018","3162","W 78 St & Broadway","40.78339981","-73.98093133","19675"
"2018","3320","Central Park West & W 100 St","40.79406660818552","-73.96286845207214","19540"
"2018","3382","Carroll St & Smith St","40.680611","-73.99475825","19435"
"2018","274","Lafayette Ave & Fort Greene Pl","40.68691865","-73.976682","19238"
"2018","3285","W 87 St & Amsterdam Ave","40.78839","-73.9747","19208"
"2018","3134","3 Ave & E 62 St","40.76312584","-73.96526895","19144"
"2018","3349","Grand Army Plaza & Plaza St West","40.6729679","-73.97087984","19038"
"2018","3113","Greenpoint Ave & Manhattan Ave","40.73026","-73.95394","18912"
"2018","314","Cadman Plaza West & Montague St","40.69383","-73.990539","18807"
"2018","337","Old Slip & Front St","40.7037992","-74.00838676","18760"
"2018","270","Adelphi St & Myrtle Ave","40.69308257","-73.97178913","18612"
"2018","3362","Madison Ave & E 82 St","40.7781314","-73.96069399","18576"
"2018","408","Market St & Cherry St","40.71076228","-73.99400398","18267"
"2018","471","Grand St & Havemeyer St","40.71286844","-73.95698119","18153"
"2018","3346","Berkeley Pl & 7 Ave","40.675146838709786","-73.97523209452629","18046"
"2018","331","Pike St & Monroe St","40.71173107","-73.99193043","17959"
"2018","310","State St & Smith St","40.68926942","-73.98912867","17947"
"2018","332","Cherry St","40.71219906","-73.97948148","17915"
"2018","516","E 47 St & 1 Ave","40.75206862","-73.96784384","17910"
"2018","3553","Frederick Douglass Blvd & W 112 St","40.801694","-73.957145","17838"
"2018","3169","Riverside Dr & W 82 St","40.78720869","-73.98128127","17700"
"2018","3293","W 92 St & Broadway","40.7921","-73.9739","17663"
"2018","3351","E 102 St & 1 Ave","40.7869946","-73.94164802","17330"
"2018","3172","W 74 St & Columbus Ave","40.7785669","-73.97754961","17127"
"2018","390","Duffield St & Willoughby St","40.69221589","-73.9842844","17105"
"2018","282","Kent Ave & S 11 St","40.707644944175705","-73.96841526031494","17104"
"2018","341","Stanton St & Mangin St","40.71782143","-73.97628939","16879"
"2018","249","Harrison St & Hudson St","40.71870987","-74.0090009","16862"
"2018","3315","Henry St & Degraw St","40.6847514","-73.99917254","16854"
"2018","3336","E 97 St & Madison Ave","40.787801","-73.953559","16789"
"2018","3096","Union Ave & N 12 St","40.71924","-73.95242","16615"
"2018","291","Madison St & Montgomery St","40.713126","-73.984844","16606"
"2018","3146","E 81 St & 3 Ave","40.77573034","-73.9567526","16594"
"2018","3108","Nassau Ave & Russell St","40.72557","-73.94434","16583"
"2018","3101","N 12 St & Bedford Ave","40.72079821","-73.95484712","16390"
"2018","3116","Huron St & Franklin St","40.73266","-73.95826","16386"
