"year","month","day","num_trips"
"2019","10","24","83390"
"2019","10","25","81088"
"2019","10","26","68001"
"2019","10","27","26736"
"2019","10","28","76705"
"2019","10","29","53166"
"2019","10","30","68595"
"2019","10","31","49622"
"2019","11","1","70588"
"2019","11","2","58532"
"2019","11","3","52209"
"2019","11","4","70087"
"2019","11","5","73727"
"2019","11","6","72680"
"2019","11","7","56755"
"2019","11","8","50266"
"2019","11","9","37976"
"2019","11","10","42076"
"2019","11","11","64849"
"2019","11","12","39161"
"2019","11","13","43931"
"2019","11","14","54622"
"2019","11","15","59493"
"2019","11","16","36865"
"2019","11","17","32082"
"2019","11","18","35610"
"2019","11","19","57390"
"2019","11","20","57593"
"2019","11","21","62657"
"2019","11","22","51035"
"2019","11","23","40050"
"2019","11","24","18134"
"2019","11","25","58686"
"2019","11","26","63602"
"2019","11","27","51319"
"2019","11","28","16156"
"2019","11","29","23203"
"2019","11","30","26484"
"2019","12","1","10747"
"2019","12","2","18007"
"2019","12","3","39208"
"2019","12","4","47359"
"2019","12","5","49002"
"2019","12","6","51580"
"2019","12","7","34472"
"2019","12","8","32280"
"2019","12","9","15211"
"2019","12","10","42407"
"2019","12","11","38167"
"2019","12","12","45324"
"2019","12","13","32929"
"2019","12","14","30241"
"2019","12","15","33856"
"2019","12","16","41676"
"2019","12","17","19297"
"2019","12","18","37867"
"2019","12","19","29435"
"2019","12","20","34183"
"2019","12","21","24222"
"2019","12","22","23705"
"2019","12","23","37330"
"2019","12","24","25861"
"2019","12","25","13074"
"2019","12","26","25202"
"2019","12","27","31774"
"2019","12","28","28492"
"2019","12","29","17942"
"2019","12","30","12133"
"2019","12","31","31485"
"2020","01","1","18099"
"2020","01","2","41531"
"2020","01","3","31851"
"2020","01","4","29407"
"2020","01","5","27567"
"2020","01","6","42713"
"2020","01","7","46500"
"2020","01","8","42384"
"2020","01","9","39321"
"2020","01","10","50775"
"2020","01","11","56500"
"2020","01","12","53075"
"2020","01","13","49398"
"2020","01","14","44136"
"2020","01","15","54226"
"2020","01","16","45233"
"2020","01","17","34095"
"2020","01","18","13287"
"2020","01","19","25922"
"2020","01","20","24212"
"2020","01","21","37384"
"2020","01","22","43394"
"2020","01","23","48242"
"2020","01","24","51295"
"2020","01","25","17727"
"2020","01","26","36106"
"2020","01","27","46514"
"2020","01","28","48791"
"2020","01","29","47362"
"2020","01","30","45585"
"2020","01","31","47255"
"2020","02","1","35511"
"2020","02","2","28575"
"2020","02","3","53479"
"2020","02","4","52446"
"2020","02","5","50525"
"2020","02","6","32146"
"2020","02","7","32625"
"2020","02","8","32753"
"2020","02","9","32604"
"2020","02","10","26720"
"2020","02","11","37770"
"2020","02","12","49325"
"2020","02","13","37392"
"2020","02","14","36904"
"2020","02","15","21579"
"2020","02","16","27255"
"2020","02","17","40927"
"2020","02","18","44085"
"2020","02","19","49287"
"2020","02","20","42671"
"2020","02","21","38659"
"2020","02","22","39403"
"2020","02","23","46509"
"2020","02","24","56312"
"2020","02","25","39533"
"2020","02","26","45160"
"2020","02","27","43396"
"2020","02","28","43329"
"2020","02","29","29231"
"2020","03","1","31839"
"2020","03","2","56901"
