"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"137","2018-03-06 08:27:09.8980","2018-03-06 08:29:27.4250","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"470","2018-03-06 08:46:04.1290","2018-03-06 08:53:54.2360","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"70","2018-03-07 09:53:14.4580","2018-03-07 09:54:25.1460","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"235","2018-03-15 13:29:44.9650","2018-03-15 13:33:39.9690","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"220","2018-03-22 13:20:39.9930","2018-03-22 13:24:20.8800","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"234","2018-03-27 10:54:37.3090","2018-03-27 10:58:31.8230","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Customer","1988","1"
"115","2018-04-30 17:30:52.7200","2018-04-30 17:32:48.3860","3488","8D QC Station 01","45.506364054011385","-73.5694634914398","3488","8D QC Station 01","45.506364054011385","-73.5694634914398","21928","Customer","1969","0"
"629","2018-05-03 10:45:35.5010","2018-05-03 10:56:05.4210","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"1648","2018-05-03 11:31:56.8960","2018-05-03 11:59:25.0890","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"277","2018-05-03 13:14:48.3370","2018-05-03 13:19:25.4750","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"116","2018-05-03 13:21:24.3610","2018-05-03 13:23:21.3330","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"729","2018-05-10 10:26:37.5740","2018-05-10 10:38:46.7840","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"73","2018-05-10 14:56:05.8380","2018-05-10 14:57:19.3270","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"143","2018-05-17 08:42:34.3890","2018-05-17 08:44:58.2910","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"121","2018-05-17 08:45:39.4350","2018-05-17 08:47:41.2970","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"1644","2018-05-31 09:56:04.6200","2018-05-31 10:23:28.8400","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"136","2018-05-31 11:18:39.0480","2018-05-31 11:20:55.6620","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
